champion_id,region,tier,games_played,wins,avg_kda,avg_damage_dealt,avg_gold_earned,avg_cs,avg_vision_score,win_rate,pick_rate,ban_rate
1,eun1,DIAMOND,58,31,3.85,20421.41,10059.69,84.91,49.62,0.5345,0.0505,0.0165
1,eun1,GOLD,2,2,4.42,13699.0,10820.5,158.0,17.5,1.0,0.0019,0.0345
1,eun1,PLATINUM,1,1,3.0,19438.0,9149.0,118.0,14.0,1.0,0.0009,0.0114
1,euw1,DIAMOND,8,6,3.34,22486.5,12199.5,201.63,23.38,0.75,0.007,0.0304
1,euw1,EMERALD,2,1,3.92,28747.0,11374.0,170.0,15.0,0.5,0.0018,0.01
1,euw1,GOLD,2,1,2.9,20512.0,10822.0,160.0,11.0,0.5,0.0018,0.0115
1,euw1,PLATINUM,4,2,3.09,18923.0,10168.5,158.5,12.5,0.5,0.0035,0.007
1,kr,DIAMOND,4,1,1.24,17425.5,8096.5,111.0,33.5,0.25,0.0035,0.0278
1,kr,EMERALD,2,0,1.8,21218.0,11643.0,207.5,15.0,0.0,0.0018,0.0127
1,kr,PLATINUM,5,1,1.81,25633.6,10566.4,160.0,16.0,0.2,0.0044,0.0335
1,na1,PLATINUM,1,0,0.6,14294.0,7247.0,130.0,15.0,0.0,0.0009,0.025
2,eun1,DIAMOND,1,1,2.25,15803.0,7863.0,134.0,10.0,1.0,0.0009,0.0096
2,eun1,EMERALD,3,2,3.32,22953.67,14407.33,231.67,24.33,0.6667,0.0026,0.0104
2,euw1,DIAMOND,1,0,1.17,20898.0,12241.0,215.0,17.0,0.0,0.0009,0.0426
2,euw1,GOLD,1,0,0.71,10784.0,7402.0,142.0,10.0,0.0,0.0009,0.0187
2,euw1,PLATINUM,1,0,2.1,34910.0,17191.0,250.0,13.0,0.0,0.0009,0.0105
2,kr,EMERALD,2,2,3.73,28184.5,12402.5,181.0,12.5,1.0,0.0018,0.0127
2,na1,DIAMOND,1,1,1.17,25089.0,12143.0,195.0,15.0,1.0,0.0009,0.013
2,na1,EMERALD,3,2,1.67,28863.33,12949.67,205.33,13.67,0.6667,0.0027,0.0071
3,eun1,DIAMOND,14,7,3.51,15709.14,9066.43,134.29,22.07,0.5,0.0122,0.0218
3,eun1,EMERALD,7,4,2.47,21995.0,10603.29,177.71,17.29,0.5714,0.0061,0.0243
3,eun1,GOLD,7,4,2.46,18642.0,10006.43,152.57,25.57,0.5714,0.0065,0.0102
3,eun1,PLATINUM,1,0,2.43,18910.0,9390.0,136.0,20.0,0.0,0.0009,0.0175
