region,tier,division,summonerId,puuid
euw1,GOLD,I,rXYy9n_5iwCUzet0USCMPuHKIZjv-0xhNorjIM6A04JAEy__,hI7-lmr2axBDMyCa7i0xsgz5lrI4D_2xqgf7MjHFckRguTIb5lGLcPUZnjsgdu3nF1vmHGOkzTNVsw
euw1,GOLD,I,Jm19RZUHEvqymuO9JhFcQZMflgG9fzBoJ9X6lPgTbV_tnc4s,pz_ZwKoE-fCKwVAbJMsqgcjJCLSx-U4wf--XqUN_QnVvA_0Fyc5USt8Hxbif8kjxq9nwdO6WmAnWwg
euw1,GOLD,I,jj6ucVvnzlRWNZ1eBJcE0RdVUAiB0cAlWvRjEcC_uy2PCs99,-aiIZl3cfMSD-fwWsMyChKZPhQcQIbEEJTJF1wup-3qhD9-udrtbabfz7EMHgPXOpebgwWVMqKspaA
euw1,GOLD,I,Nv8r4Vhw_lDwHP70-_VCFuCCceCcL8-cZzagJ28ihYSSZchF,MJBbszjSZ07hpeYvvkMrAz6NEM0vN4TVI7-ZLFEBOSgNzJ6LNL5Tb0k1V3NyVNfKeGag7WBiGLsGwA
euw1,GOLD,I,Xp_aZeHV44wMT_ECt84MWKj49It-tr7Ryl4GSkHEgKYfABnW,uWk0MDacmzXohFGQvIDGHXPSrwzGmx7km3fU1AgwXoJweLG6wDfeIKaoP4ek2H1_mw0iMZ5rdtmHfg
euw1,GOLD,I,-647P00RyqoU4OVjz8yd4N-pOZ-gjvofHTwDRqr3Nlp3vB5n,327TobizWAPmhVq80wzeRwAdkchQy4EDCbaZoYDPrI_-D7RFLg9He7co0m5zg2SBRr4yoVxpRkbetw
euw1,GOLD,I,HtM9BbbE5tg1nY5o6WGjg4GBJvESkfopWTSPhBPereHPU99O,p1_KMHG0iQqDCOYvSZpBTcvPEe5Qkw0Se1qcRAgj5xol740jNgHQfjr4dhe7MqA-hw7icRoKOLL_jA
euw1,GOLD,I,OqS624BWjHzdi42KoCNoIgoLFjpg06y_g_Dijsv4vpVPHAWW,JuyE5EMzVCGbw1GA3Vv95312ieIzIyIp4inKrjqPquI-jYNaAt_FntOW4tdLkhh2FdCyO6ltcQh7DQ
euw1,GOLD,I,oD02YQ1yGpNBbu3vNs8Mvvd3zKZUuGq3Ah87vchmUDszuZzM,G164fFGmNvbPjYHkM1Nfj0T1ycjlGzgTr-It5Hj1UdWljQ3A_xGs2Uukguv9mxlbMRrLgccxZBaAZQ
euw1,GOLD,I,H8-4nIB_Jr42sAcakvp6t0MiCZ8U_TkbLocvaguzXVVrJ2z5,xJG5DBtwg_ihl4bgPwE1me4VHjl16AzZ04CwtzSJ_zNoy-LTWyzt-RKydaZ1xHKVgjyRt4MMnqm-Vg
